feature,model_vars,default
bank_txn_balance_debit_gap_max_168d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_max_182d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_max_28d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_max_56d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_max_7d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_max_84d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_14d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_168d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_182d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_28d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_56d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_7d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_mean_84d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_14d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_168d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_182d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_28d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_56d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_7d,model_vars_balance,-1000000
bank_txn_balance_debit_gini_84d,model_vars_balance,-1000000
bank_txn_balance_debit_max_14d,model_vars_balance,-1000000
bank_txn_balance_debit_max_168d,model_vars_balance,-1000000
bank_txn_balance_debit_max_182d,model_vars_balance,-1000000
bank_txn_balance_debit_max_28d,model_vars_balance,-1000000
bank_txn_balance_debit_max_56d,model_vars_balance,-1000000
bank_txn_balance_debit_max_7d,model_vars_balance,-1000000
bank_txn_balance_debit_max_84d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_debit_max_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_14d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_168d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_182d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_28d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_56d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_7d,model_vars_balance,-1000000
bank_txn_balance_debit_mean_84d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_debit_no_txn_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_14d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_168d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_182d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_28d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_56d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_7d,model_vars_balance,-1000000
bank_txn_balance_debit_snapshot_last_84d,model_vars_balance,-1000000
bank_txn_balance_debit_std_14d,model_vars_balance,-1000000
bank_txn_balance_debit_std_168d,model_vars_balance,-1000000
bank_txn_balance_debit_std_182d,model_vars_balance,-1000000
bank_txn_balance_debit_std_28d,model_vars_balance,-1000000
bank_txn_balance_debit_std_56d,model_vars_balance,-1000000
bank_txn_balance_debit_std_7d,model_vars_balance,-1000000
bank_txn_balance_debit_std_84d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_14d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_168d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_182d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_28d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_56d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_7d,model_vars_balance,-1000000
bank_txn_balance_debit_sum_84d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_debit_tail_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_14d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_168d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_182d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_28d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_56d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_7d,model_vars_balance,-1000000
bank_txn_balance_debit_top1_share_84d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_14d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_168d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_182d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_28d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_56d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_7d,model_vars_balance,-1000000
bank_txn_balance_dev_from_hist_mean_84d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_ac1_14d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_ac1_168d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_ac1_182d,model_vars_balance,-1000000
