loan_regular,account_type,tag_level1,dr_cr,tag_level2,category
Regular Account,Unlabeled,LIABILITY,credit,Liability_Drawdown,Debt Consolidation
Regular Account,Unlabeled,LIABILITY,credit,Liability_Drawdown,Non SACC Loans
Regular Account,Unlabeled,LIABILITY,credit,Liability_Drawdown,SACC Loans
Regular Account,Unlabeled,EXPENSE,debit,Telecommunications,Telecommunications
Regular Account,Unlabeled,EXPENSE,debit,Utilities,Utilities
Regular Account,Unlabeled,EXPENSE,debit,Automotive,Automotive
Regular Account,Unlabeled,EXPENSE,debit,Transport,Transport
Regular Account,Unlabeled,EXPENSE,debit,External Transfers,External Transfers
Regular Account,Unlabeled,EXPENSE,debit,Internal Transfer,Internal Transfer
Regular Account,Unlabeled,EXPENSE,debit,Department Stores,Department Stores
Regular Account,Unlabeled,EXPENSE,debit,Retail,Retail
Regular Account,Unlabeled,EXPENSE,debit,Unlabeled,Unlabeled
Regular Account,Unlabeled,EXPENSE,debit,Groceries,Groceries
Regular Account,Unlabeled,EXPENSE,debit,Pet Care,Pet Care
Regular Account,Unlabeled,EXPENSE,debit,Dining Out,Dining Out
Regular Account,Unlabeled,EXPENSE,debit,Donations,Donations
Regular Account,Unlabeled,EXPENSE,debit,Entertainment,Entertainment
Regular Account,Unlabeled,EXPENSE,debit,Gambling,Gambling
Regular Account,Unlabeled,EXPENSE,debit,Gyms and other memberships,Gyms and other memberships
Regular Account,Unlabeled,EXPENSE,debit,Subscription TV,Subscription TV
Regular Account,Unlabeled,EXPENSE,debit,Travel,Travel
Regular Account,Unlabeled,EXPENSE,debit,Centrelink,Centrelink
Regular Account,Unlabeled,INCOME,credit,Other Income,Unlabeled
Regular Account,Unlabeled,INCOME,credit,Other Income,All Other Credits
Regular Account,Unlabeled,INCOME,credit,Other Income,Automotive
Regular Account,Unlabeled,INCOME,credit,Centrelink,Centrelink
Regular Account,Unlabeled,EXPENSE,debit,Home Improvement,Home Improvement
Regular Account,Unlabeled,INCOME,credit,Other Income,Department Stores
Regular Account,Unlabeled,EXPENSE,debit,Rent,Rent
Regular Account,Unlabeled,INCOME,credit,Other Income,Dining Out
Regular Account,transaction,LIABILITY,credit,Refund_Or_Reversal,Dishonours
Regular Account,Unlabeled,INCOME,credit,Other Income,Donations
Regular Account,Unlabeled,INCOME,credit,Other Income,Education
Regular Account,Unlabeled,INCOME,credit,Other Income,Entertainment
Regular Account,Unlabeled,INCOME,credit,Other Income,External Transfers
Regular Account,Unlabeled,INCOME,credit,Other Income,Fees
Regular Account,Unlabeled,EXPENSE,debit,Health,Health
Regular Account,Unlabeled,INCOME,credit,Other Income,Gambling
Regular Account,Unlabeled,EXPENSE,debit,Personal Care,Personal Care
Regular Account,Unlabeled,INCOME,credit,Other Income,Groceries
Regular Account,Unlabeled,INCOME,credit,Other Income,Gyms and other memberships
Regular Account,Unlabeled,INCOME,credit,Other Income,Health
Regular Account,Unlabeled,INCOME,credit,Other Income,Home Improvement
Regular Account,Unlabeled,INCOME,credit,Other Income,Information
Regular Account,Unlabeled,INCOME,credit,Other Income,Insurance
Regular Account,Unlabeled,INCOME,credit,Other Income,Internal Transfer
