feature,model_vars,defalut,default
bank_txn_category_internal_transfer_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dishonours_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dishonours_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_credit_card_repayments_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_credit_card_repayments_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_wages_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_wages_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_education_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_education_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_all_other_credits_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_non_sacc_loans_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_retail_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_subscription_tv_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_internal_transfer_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_external_transfers_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_amt_14d,model_vars_category,-1000000,-999999.99999
